Year,State,SO2,SO2_diff
01-01-2020,Mizoram,2,0
01-01-2020,Nagaland,2,0
01-01-2020,Odisha,5.774,-0.631
01-01-2020,Puducherry,7.136,3.803
01-01-2020,Rajasthan,8.81,-0.164
01-01-2020,Sikkim,5.125,-0.625
01-01-2020,Tamilnadu,10.0357,-0.1573
01-01-2020,Telangana,5.545454,-0.894546
01-01-2020,Tripura,6,2
01-01-2020,Uttar Pradesh,10.417,-0.647
01-01-2020,Uttarakhand,16.25,7.25
01-01-2020,West Bengal,8.3037,-0.2883
01-01-2021,Andhra Pradesh,7.31,1.1899999999999995
01-01-2021,Arunachal Pradesh,15,12
01-01-2021,Assam,7.38,1.7966999999999995
01-01-2021,Bihar,7.5,-2.25
01-01-2021,Chattisgarh,9.2,1.5999999999999996
01-01-2021,Goa,6.46,-0.54
01-01-2021,Gujarat,16.08,5.885599999999998
01-01-2021,Haryana,12.35,2.3499999999999996
01-01-2021,Himachal Pradesh,2.19,-0.0004
01-01-2021,Jharkhand,19.75,-1.85
01-01-2021,Karnataka,11.18,7.68
01-01-2021,Kerala,5,2.63
01-01-2021,Madhya Pradesh,12.25,1.0790000000000006
01-01-2021,Maharashtra,14.81,1.774000000000001
01-01-2021,Manipur,6,1
01-01-2021,Meghalaya,6.17,1.5700000000000003
01-01-2021,Mizoram,2,0
01-01-2021,Nagaland,11,9
01-01-2021,Odisha,8.71,2.936000000000001
01-01-2021,Punjab,7.38,-0.39
01-01-2021,Rajasthan,11.45,2.639999999999999
01-01-2021,Sikkim,5.63,0.5049999999999999
01-01-2021,Tamilnadu,9.33,-0.7057
01-01-2021,Telangana,6.55,1.0045459999999995
01-01-2021,Tripura,19,13
01-01-2021,Uttar Pradesh,12.65,2.2330000000000005
01-01-2021,Uttarakhand,16.33,0.08
01-01-2021,West Bengal,7.04,-1.2637
01-01-2022,Andhra Pradesh,6.73,-0.58
01-01-2022,Arunachal Pradesh,15,0
01-01-2022,Assam,6.77,-0.61
01-01-2022,Bihar,8,0.5
01-01-2022,Chandigarh ,7,1
01-01-2022,Chattisgarh,10.2,1
01-01-2022,Dadara & Nagar Haveli and Daman & Diu ,17.25,2.25
01-01-2022,Delhi ,9,-1
01-01-2022,Goa,5,-1.46
01-01-2022,Gujarat,19.11,3.030000000000001
01-01-2022,Haryana,12.08,-0.27
01-01-2022,Himachal Pradesh,3.09,0.8999999999999999
01-01-2022,Jammu & Kashmir ,8.33,2.33
01-01-2022,Jharkhand,21.43,1.6799999999999997
01-01-2022,Karnataka,13.2,2.0199999999999996
01-01-2022,Kerala,3.56,-1.44
01-01-2022,Madhya Pradesh,13.07,0.8200000000000003
01-01-2022,Maharashtra,16.47,1.6599999999999984
01-01-2022,Manipur,51,45
01-01-2022,Meghalaya,7.57,1.4000000000000004
01-01-2022,Mizoram,2,0
01-01-2022,Nagaland,21.5,10.5
01-01-2022,Odisha,8.61,-0.1
01-01-2022,Pondicherry ,5.5,1
01-01-2022,Punjab,7.59,0.20999999999999996
01-01-2022,Rajasthan,11.29,-0.16
01-01-2022,Sikkim,5.14,-0.49
01-01-2022,Tamilnadu,15.54,6.209999999999999
01-01-2022,Telangana,7.88,1.33
01-01-2022,Tripura,31,12
01-01-2022,Uttar Pradesh,15.02,2.369999999999999
01-01-2022,Uttarakhand,15,-1.33
01-01-2022,West Bengal,7.82,0.7800000000000002
01-01-2023,Andhra Pradesh,8.090909,1.3609089999999995
01-01-2023,Assam,10.5,3.7300000000000004
01-01-2023,Bihar,11.954545,3.9545449999999995
01-01-2023,Chandigarh ,6,-1
01-01-2023,Chattisgarh,10,-0.2
01-01-2023,Delhi ,8,-1
01-01-2023,Goa,3,-2
01-01-2023,Gujarat,14.25,-4.86
01-01-2023,Haryana,12.153846,0.073846
01-01-2023,Himachal Pradesh,4,0.9100000000000001
01-01-2023,Jammu & Kashmir ,11,2.67
01-01-2023,Jharkhand,24.75,3.3200000000000003
01-01-2023,Karnataka,15.25,2.0500000000000007
01-01-2023,Kerala,5,1.44
01-01-2023,Madhya Pradesh,13,-0.07
01-01-2023,Maharashtra,14.684211,-1.785789
01-01-2023,Manipur,48,-3
01-01-2023,Meghalaya,9.125,1.5549999999999997
01-01-2023,Mizoram,2,0
01-01-2023,Nagaland,14.5,-7
01-01-2023,Odisha,10.5,1.8900000000000006
01-01-2023,Pondicherry ,7,1.5
01-01-2023,Punjab,7,-0.59
01-01-2023,Rajasthan,7,-4.29
01-01-2023,Sikkim,8.833333,3.693333
01-01-2023,Tamilnadu,14,-1.54
01-01-2023,Telangana,13,5.12
01-01-2023,Tripura,28,-3
01-01-2023,Uttar Pradesh,16,0.9800000000000004
01-01-2023,Uttarakhand,6.333333,-8.666667
01-01-2023,West Bengal,5,-2.82
