State,SO2
"Andhra
Pradesh",6.76
Assam,7.391304348
Bihar,4.5
Chandigarh,2
Chattisgarh,9.625
"Dadra &
Nagar
Haveli",21
"Daman &
Diu",19
Delhi,6.888888889
Goa,5.222222222
Gujarat,13.57142857
"Himachal
Pradesh",2.318181818
"Jammu &
Kashmir",3.333333333
Jharkhand,21.8
Karnataka,3.423076923
Kerala,3.791666667
"Madhya
Pradesh",10.63888889
Maharashtra,17.14925373
"Meghalay
a",7
Mizoram,2
Odisha,6.2
"Puducherr
y",9
Punjab,8.125
Rajasthan,7.233333333
Sikkim,11.88888889
Tamilnadu,10.74193548
Telangana,5.75
"Uttar
Pradesh",10.26229508
"Uttarakha
nd",25.2
"West
Bengal",9.277777778
