State,SO2
Andhra Pradesh,8.090909
Assam,10.5
Bihar,11.954545
Chandigarh (UT),6
Chattisgarh,10
Delhi (UT),8
Goa,3
Gujarat,14.25
Haryana,12.153846
Himachal Pradesh,4
Jammu & Kashmir (UT),11
Jharkhand,24.75
Karnataka,15.25
Kerala,5
Madhya Pradesh,13
Maharashtra,14.684211
Manipur,48
Meghalaya,9.125
Mizoram,2
Nagaland,14.5
Odisha,10.5
Pondicherry (UT),7
Punjab,7
Rajasthan,7
Sikkim,8.833333
Tamilnadu,14
Telangana,13
Tripura,28
Uttar Pradesh,16
Uttarakhand,6.333333
West Bengal,5
