State,SO2
Andhra Pradesh,6.73
Arunachal Pradesh,15
Assam,6.77
Bihar,8
Chandigarh (UT),7
Chattisgarh,10.2
Dadara & Nagar Haveli and Daman & Diu (UT),17.25
Delhi (UT),9
Goa,5
Gujarat,19.11
Haryana,12.08
Himachal Pradesh,3.09
Jammu & Kashmir (UT),8.33
Jharkhand,21.43
Karnataka,13.2
Kerala,3.56
Madhya Pradesh,13.07
Maharashtra,16.47
Manipur,51
Meghalaya,7.57
Mizoram,2
Nagaland,21.5
Odisha,8.61
Pondicherry (UT),5.5
Punjab,7.59
Rajasthan,11.29
Sikkim,5.14
Tamilnadu,15.54
Telangana,7.88
Tripura,31
Uttar Pradesh,15.02
Uttarakhand,15
West Bengal,7.82
