State,SO2
"Andhra
Pradesh",6.13888
"Arunachal
Pradesh",3
Assam,6.5652
Bihar,9.75
Chattisgarh,9
"Dadra &
Nagar Haveli
and Daman &
Diu",21
Delhi,4.6667
Goa,9.05882
Gujarat,20.5
"Himachal
Pradesh",2.1904
Jharkhand,21.6
Karnataka,4.518
Kerala,3.321
"Madhya
Pradesh",11.05
Maharashtra,14.75
Manipur,9
Meghalaya,4.6
Mizoram,2
Nagaland,2
Odisha,6.405
Puducherry,3.333
Punjab,7.77
Rajasthan,8.974
Sikkim,5.75
Tamilnadu,10.193
Telangana,6.44
Tripura,4
Uttar Pradesh,11.064
Uttarakhand,9
West Bengal,8.592
