State,SO2
"Andhra
Pradesh",5
Assam,6.695652174
Bihar,9.25
Chandigarh,6.538461538
"Dadra &
Nagar
Haveli",15.66666667
"Daman &
Diu",14.33333333
Delhi,7.333333333
Goa,7.111111111
Gujarat,14.70833333
Haryana,9.5
"Himachal
Pradesh",2.24
"Jammu &
Kashmir",4
Jharkhand,21.5
Karnataka,3
Kerala,3.75
"Madhya
Pradesh",11.05128205
"Maharashtr
a",15.42647059
Meghalaya,5.2
Mizoram,2
Nagaland,2
Odisha,6.432432432
Puducherry,6.5
Punjab,8.481481481
Rajasthan,7.694444444
Sikkim,6.125
Tamilnadu,10.16666667
Telangana,6.2
Tripura,23
"Uttar
Pradesh",10.61538462
"Uttarakhan
d",24.6
West Bengal,6.973333333
