State,SO2
Andhra Pradesh,7.31
Arunachal Pradesh,15
Assam,7.38
Bihar,7.5
Chandigarh (UT),6
Chattisgarh,9.2
Dadara & Nagar Haveli and Daman & Diu (UT),15
Delhi (UT),10
Goa,6.46
Gujarat,16.08
Haryana,12.35
Himachal Pradesh,2.19
Jammu & Kashmir (UT),6
Jharkhand,19.75
Karnataka,11.18
Kerala,5
Madhya Pradesh,12.25
Maharashtra,14.81
Manipur,6
Meghalaya,6.17
Mizoram,2
Nagaland,11
Odisha,8.71
Pondicherry (UT),4.5
Punjab,7.38
Rajasthan,11.45
Sikkim,5.63
Tamilnadu,9.33
Telangana,6.55
Tripura,19
Uttar Pradesh,12.65
Uttarakhand,16.33
West Bengal,7.04
