State,SO2
Andhra Pradesh,6.12
Assam,5.5833
Chandigarh,2
Chattisgarh,7.6
"Dadra & Nagar
Haveli and
Daman & Diu",8.69
Goa,7
Gujarat,10.1944
Jammu & Kashmir,11.866
Karnataka,3.5
Kerala,2.37
Madhya Pradesh,11.171
Maharashtra,13.036
Manipur,5
Meghalaya,4.6
Mizoram,2
Nagaland,2
Odisha,5.774
Puducherry,7.136
Rajasthan,8.81
Sikkim,5.125
Tamilnadu,10.0357
Telangana,5.545454
Tripura,6
Uttar Pradesh,10.417
Uttarakhand,16.25
West Bengal,8.3037
